uid_connection,type,img1,img2,date,cluster_file,cluster
01435531eca4444ea277d12dffbb0068_2a8d4e1bfdb74eca8b4b638da1fbc4f7,POSITIVE,01435531eca4444ea277d12dffbb0068,2a8d4e1bfdb74eca8b4b638da1fbc4f7,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_4ca7465c479e403eb4066ea9179bb432,POSITIVE,01435531eca4444ea277d12dffbb0068,4ca7465c479e403eb4066ea9179bb432,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_52c28ef42c1d4aae96c7631fcca7d660,POSITIVE,01435531eca4444ea277d12dffbb0068,52c28ef42c1d4aae96c7631fcca7d660,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_53be2276c1eb4211a7383c56766aee77,POSITIVE,01435531eca4444ea277d12dffbb0068,53be2276c1eb4211a7383c56766aee77,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_5d79b149cf7445a4bfdf23d9b798a68c,CORRECT,5d79b149cf7445a4bfdf23d9b798a68c,01435531eca4444ea277d12dffbb0068,29-06-2022_19:14:10,01-06-2022/clusters_optics_0.13_01-06-2022_19,46.0
01435531eca4444ea277d12dffbb0068_5d79b149cf7445a4bfdf23d9b798a68c,POSITIVE,01435531eca4444ea277d12dffbb0068,5d79b149cf7445a4bfdf23d9b798a68c,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_6f96097f261f4094badaaf011a889c8e,POSITIVE,01435531eca4444ea277d12dffbb0068,6f96097f261f4094badaaf011a889c8e,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_9ce56b3c8059489aa05ee37b5bbaffc0,POSITIVE,01435531eca4444ea277d12dffbb0068,9ce56b3c8059489aa05ee37b5bbaffc0,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_ab78cee608eb4524a4f3fc072b24f042,POSITIVE,01435531eca4444ea277d12dffbb0068,ab78cee608eb4524a4f3fc072b24f042,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_e7d5b8fabef34afd901588f50ff53919,POSITIVE,01435531eca4444ea277d12dffbb0068,e7d5b8fabef34afd901588f50ff53919,10-06-2022_14:42:00,morphograph,33.0
0151210d56524566b9f4e4cdd326e7dc_f1fdfee4ac4e49cc9e96f263d6dba01a,POSITIVE,0151210d56524566b9f4e4cdd326e7dc,f1fdfee4ac4e49cc9e96f263d6dba01a,14-06-2022_21:43:40,07-06-2022/clusters_optics_0.13_07-06-2022_19,1282.0
015bdd215fc94f4bba06a9ba10d24a11_1153fd805fee4a10a8b1deb136aa2540,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,1153fd805fee4a10a8b1deb136aa2540,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_1280ff0f290b47b0bb65224d5e71e4e8,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,1280ff0f290b47b0bb65224d5e71e4e8,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_1a4ecebdd379406bb7c686121022caf5,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,1a4ecebdd379406bb7c686121022caf5,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_7cafbc0aa8bf4311b87967339b46aa99,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,7cafbc0aa8bf4311b87967339b46aa99,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_96f1701981d84f30ad0ddc3bd758a3ce,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,96f1701981d84f30ad0ddc3bd758a3ce,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_d3e552f25fe7456e83d92801f83121a3,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,d3e552f25fe7456e83d92801f83121a3,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_d78d6915521d4d9093f179bfdab44fa5,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,d78d6915521d4d9093f179bfdab44fa5,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_db69533115a141028d291ee88c632d46,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,db69533115a141028d291ee88c632d46,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11_e457cec6d86f47d1abbc34eccc0874d3,POSITIVE,015bdd215fc94f4bba06a9ba10d24a11,e457cec6d86f47d1abbc34eccc0874d3,10-06-2022_14:44:03,morphograph,53.0
017a08465c464d719f433c1039e0c0d1_4091e2bab8324a37840607e92faf8b87,POSITIVE,017a08465c464d719f433c1039e0c0d1,4091e2bab8324a37840607e92faf8b87,10-06-2022_15:50:23,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,20.0
01c20f58fad146119c46c3607a91988c_62f953b7b25f4ae4bfcb884ec5e87ef8,POSITIVE,01c20f58fad146119c46c3607a91988c,62f953b7b25f4ae4bfcb884ec5e87ef8,10-06-2022_15:51:03,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,25.0
01c20f58fad146119c46c3607a91988c_d8389f5725444477b3954e7a5d7fbfeb,POSITIVE,01c20f58fad146119c46c3607a91988c,d8389f5725444477b3954e7a5d7fbfeb,10-06-2022_15:51:03,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,25.0
01c9d15bc859434fa72380dae01ae476_25567076c91b43f68a828f0f86d6dc1e,CORRECT,01c9d15bc859434fa72380dae01ae476,25567076c91b43f68a828f0f86d6dc1e,29-06-2022_19:19:55,01-06-2022/clusters_optics_0.13_01-06-2022_19,94.0
01c9d15bc859434fa72380dae01ae476_25567076c91b43f68a828f0f86d6dc1e,POSITIVE,01c9d15bc859434fa72380dae01ae476,25567076c91b43f68a828f0f86d6dc1e,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476_2c54a5152d0744538028ad8f461c9b56,CORRECT,01c9d15bc859434fa72380dae01ae476,2c54a5152d0744538028ad8f461c9b56,29-06-2022_19:19:55,01-06-2022/clusters_optics_0.13_01-06-2022_19,94.0
01c9d15bc859434fa72380dae01ae476_2c54a5152d0744538028ad8f461c9b56,POSITIVE,01c9d15bc859434fa72380dae01ae476,2c54a5152d0744538028ad8f461c9b56,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476_8a16f89c2fe44bcbbcc1db5a5b946080,CORRECT,01c9d15bc859434fa72380dae01ae476,8a16f89c2fe44bcbbcc1db5a5b946080,29-06-2022_19:19:55,01-06-2022/clusters_optics_0.13_01-06-2022_19,94.0
01c9d15bc859434fa72380dae01ae476_8a16f89c2fe44bcbbcc1db5a5b946080,POSITIVE,01c9d15bc859434fa72380dae01ae476,8a16f89c2fe44bcbbcc1db5a5b946080,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476_ac36923fa4a54d60a5343e6ae325f80c,CORRECT,01c9d15bc859434fa72380dae01ae476,ac36923fa4a54d60a5343e6ae325f80c,29-06-2022_19:19:55,01-06-2022/clusters_optics_0.13_01-06-2022_19,94.0
01c9d15bc859434fa72380dae01ae476_ac36923fa4a54d60a5343e6ae325f80c,POSITIVE,01c9d15bc859434fa72380dae01ae476,ac36923fa4a54d60a5343e6ae325f80c,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476_c21e8e9ca97b4f06aca45db3d9aa8901,CORRECT,01c9d15bc859434fa72380dae01ae476,c21e8e9ca97b4f06aca45db3d9aa8901,29-06-2022_19:19:55,01-06-2022/clusters_optics_0.13_01-06-2022_19,94.0
01c9d15bc859434fa72380dae01ae476_c21e8e9ca97b4f06aca45db3d9aa8901,POSITIVE,01c9d15bc859434fa72380dae01ae476,c21e8e9ca97b4f06aca45db3d9aa8901,10-06-2022_15:12:46,morphograph,631.0
01f29b29a558442e8482fdd88168d66b_33f5a6c05201499cbfacd82574968297,POSITIVE,01f29b29a558442e8482fdd88168d66b,33f5a6c05201499cbfacd82574968297,10-06-2022_15:21:20,morphograph,867.0
01ff3d557f4a4133b70d7baee6f124b8_40483c2f08104c87bb056f694bb7759b,POSITIVE,01ff3d557f4a4133b70d7baee6f124b8,40483c2f08104c87bb056f694bb7759b,10-06-2022_15:51:46,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,31.0
023684cd7a064ecfa8c1e41b2236048f_13168561513645899d91dcae16d104da,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,13168561513645899d91dcae16d104da,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_533edc77188c44b8858f2b34b336f2c6,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,533edc77188c44b8858f2b34b336f2c6,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_6449b75a1ca44a5cb54c766925ae5e6d,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,6449b75a1ca44a5cb54c766925ae5e6d,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_764b5e62f6a84ff2a41d89f3256e259c,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,764b5e62f6a84ff2a41d89f3256e259c,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_d6840776feb14fa288f2d83e1ba2a249,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,d6840776feb14fa288f2d83e1ba2a249,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_e08f8e24f8054e3bb1f870d4deeadc5a,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,e08f8e24f8054e3bb1f870d4deeadc5a,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f_f4153c322e194412a96da3a88d7070ce,POSITIVE,023684cd7a064ecfa8c1e41b2236048f,f4153c322e194412a96da3a88d7070ce,10-06-2022_14:41:19,morphograph,25.0
023bd457b23f4752bdeaafafc9faee98_7dbc2b881f2b49ca91b568a303983832,POSITIVE,023bd457b23f4752bdeaafafc9faee98,7dbc2b881f2b49ca91b568a303983832,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98_ab31d146301449f3ae616a2d795f972d,POSITIVE,023bd457b23f4752bdeaafafc9faee98,ab31d146301449f3ae616a2d795f972d,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98_bf71d636f40b42b88cb2f3b5463e1cbe,POSITIVE,023bd457b23f4752bdeaafafc9faee98,bf71d636f40b42b88cb2f3b5463e1cbe,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98_d845bfd4297b40d1be6973cec792dcc7,POSITIVE,023bd457b23f4752bdeaafafc9faee98,d845bfd4297b40d1be6973cec792dcc7,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98_d9c42c0c5ce242a59d007a8e51bdc626,POSITIVE,023bd457b23f4752bdeaafafc9faee98,d9c42c0c5ce242a59d007a8e51bdc626,10-06-2022_15:16:11,morphograph,729.0
02a60e2ec74b43988f70aad45e209fa8_1574820643224be384a583347d1a4846,POSITIVE,02a60e2ec74b43988f70aad45e209fa8,1574820643224be384a583347d1a4846,10-06-2022_14:57:48,morphograph,237.0
02a60e2ec74b43988f70aad45e209fa8_17942f6b8f7b4431b47b4c7dd13230ce,POSITIVE,02a60e2ec74b43988f70aad45e209fa8,17942f6b8f7b4431b47b4c7dd13230ce,10-06-2022_14:57:48,morphograph,237.0
02a60e2ec74b43988f70aad45e209fa8_7e5347fa9eeb42558c6d622909e248d8,POSITIVE,02a60e2ec74b43988f70aad45e209fa8,7e5347fa9eeb42558c6d622909e248d8,10-06-2022_14:57:48,morphograph,237.0
02a60e2ec74b43988f70aad45e209fa8_f5dd110690c14a4e98965b1b713249ba,POSITIVE,02a60e2ec74b43988f70aad45e209fa8,f5dd110690c14a4e98965b1b713249ba,10-06-2022_14:57:48,morphograph,237.0
02a60e2ec74b43988f70aad45e209fa8_fb030ef7fe4c4cc793fa86167fb1ddc7,POSITIVE,02a60e2ec74b43988f70aad45e209fa8,fb030ef7fe4c4cc793fa86167fb1ddc7,10-06-2022_14:57:48,morphograph,237.0
02ab8a998f934cb9bda2e6b715a76f28_f60626ca0ded484f9e2780e96cdd78bb,POSITIVE,02ab8a998f934cb9bda2e6b715a76f28,f60626ca0ded484f9e2780e96cdd78bb,10-06-2022_15:21:25,morphograph,868.0
02be4e7508ba4215949fee27d2041855_4323ee8077a441a994d42b251cfd45d5,POSITIVE,4323ee8077a441a994d42b251cfd45d5,02be4e7508ba4215949fee27d2041855,29-06-2022_19:55:34,07-06-2022/clusters_optics_0.13_07-06-2022_19,445.0
030c45cd1f8c41209449c94c30bb4c09_4eecb344f02b4ff8a68bdef3b6d8aaf2,SIMILAR,030c45cd1f8c41209449c94c30bb4c09,4eecb344f02b4ff8a68bdef3b6d8aaf2,10-06-2022_15:52:22,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,45.0
030c45cd1f8c41209449c94c30bb4c09_cbedebfccbe046ae9e57ff3aa96741c3,SIMILAR,030c45cd1f8c41209449c94c30bb4c09,cbedebfccbe046ae9e57ff3aa96741c3,10-06-2022_15:52:22,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,45.0
0320026fab744085b3f550b81994e8e5_2614230a72b9410493315c2815695cb0,POSITIVE,0320026fab744085b3f550b81994e8e5,2614230a72b9410493315c2815695cb0,27-06-2022_17:01:36,07-06-2022/clusters_optics_0.13_07-06-2022_19,661.0
032ee12b04474ae28c7ea9fcce2a2673_0b497a69bc674c70b77354cf10700727,POSITIVE,032ee12b04474ae28c7ea9fcce2a2673,0b497a69bc674c70b77354cf10700727,29-06-2022_19:14:20,01-06-2022/clusters_optics_0.13_01-06-2022_19,47.0
032ee12b04474ae28c7ea9fcce2a2673_f233dc0d94df4f4882b53a08a4ebb474,POSITIVE,f233dc0d94df4f4882b53a08a4ebb474,032ee12b04474ae28c7ea9fcce2a2673,10-06-2022_15:46:53,01-06-2022/clusters_dbscan_0.08_01-06-2022_19,19.0
03460cad395742dcaa4966028bc0f223_2b93239fbd76468d8c43a55227cb4c0c,CORRECT,03460cad395742dcaa4966028bc0f223,2b93239fbd76468d8c43a55227cb4c0c,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_2b93239fbd76468d8c43a55227cb4c0c,POSITIVE,03460cad395742dcaa4966028bc0f223,2b93239fbd76468d8c43a55227cb4c0c,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_2c2590d90873417280e1906adcc82d39,CORRECT,03460cad395742dcaa4966028bc0f223,2c2590d90873417280e1906adcc82d39,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_2c2590d90873417280e1906adcc82d39,POSITIVE,03460cad395742dcaa4966028bc0f223,2c2590d90873417280e1906adcc82d39,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_2e90c9d3149c4d1dba004552fb547e67,CORRECT,03460cad395742dcaa4966028bc0f223,2e90c9d3149c4d1dba004552fb547e67,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_2e90c9d3149c4d1dba004552fb547e67,POSITIVE,03460cad395742dcaa4966028bc0f223,2e90c9d3149c4d1dba004552fb547e67,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_3f3a15c16a9d47f8860faee50c5a74c2,CORRECT,03460cad395742dcaa4966028bc0f223,3f3a15c16a9d47f8860faee50c5a74c2,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_3f3a15c16a9d47f8860faee50c5a74c2,POSITIVE,03460cad395742dcaa4966028bc0f223,3f3a15c16a9d47f8860faee50c5a74c2,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_756bea186d0b4012a8d7c9a7e1d9f6d5,CORRECT,03460cad395742dcaa4966028bc0f223,756bea186d0b4012a8d7c9a7e1d9f6d5,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_756bea186d0b4012a8d7c9a7e1d9f6d5,POSITIVE,03460cad395742dcaa4966028bc0f223,756bea186d0b4012a8d7c9a7e1d9f6d5,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_8b9d94eb42164b0db12b479d05dfd5f1,CORRECT,8b9d94eb42164b0db12b479d05dfd5f1,03460cad395742dcaa4966028bc0f223,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_8b9d94eb42164b0db12b479d05dfd5f1,POSITIVE,03460cad395742dcaa4966028bc0f223,8b9d94eb42164b0db12b479d05dfd5f1,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_abd60b8a01ee41689b77f435cca1f08e,CORRECT,03460cad395742dcaa4966028bc0f223,abd60b8a01ee41689b77f435cca1f08e,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_abd60b8a01ee41689b77f435cca1f08e,POSITIVE,03460cad395742dcaa4966028bc0f223,abd60b8a01ee41689b77f435cca1f08e,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_b1ea808ff35545b4a9447fe7121654dd,CORRECT,b1ea808ff35545b4a9447fe7121654dd,03460cad395742dcaa4966028bc0f223,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_b1ea808ff35545b4a9447fe7121654dd,POSITIVE,03460cad395742dcaa4966028bc0f223,b1ea808ff35545b4a9447fe7121654dd,10-06-2022_15:06:47,morphograph,515.0
03460cad395742dcaa4966028bc0f223_b76c7caf992b4cf59c43ec9ddb2cbcc3,CORRECT,b76c7caf992b4cf59c43ec9ddb2cbcc3,03460cad395742dcaa4966028bc0f223,29-06-2022_19:11:26,01-06-2022/clusters_optics_0.13_01-06-2022_19,32.0
03460cad395742dcaa4966028bc0f223_b76c7caf992b4cf59c43ec9ddb2cbcc3,POSITIVE,03460cad395742dcaa4966028bc0f223,b76c7caf992b4cf59c43ec9ddb2cbcc3,10-06-2022_15:06:47,morphograph,515.0
03831e0f677d4c43ae34185065b93191_629397fc2a1640d792279380f19a9a24,POSITIVE,03831e0f677d4c43ae34185065b93191,629397fc2a1640d792279380f19a9a24,10-06-2022_14:49:33,morphograph,71.0
03831e0f677d4c43ae34185065b93191_7463d38e001346e3a6c3dd1e8a084a75,POSITIVE,03831e0f677d4c43ae34185065b93191,7463d38e001346e3a6c3dd1e8a084a75,10-06-2022_14:49:33,morphograph,71.0
03831e0f677d4c43ae34185065b93191_7a4753b8b45144fa94b5739f13fe163d,POSITIVE,03831e0f677d4c43ae34185065b93191,7a4753b8b45144fa94b5739f13fe163d,10-06-2022_14:49:33,morphograph,71.0
03831e0f677d4c43ae34185065b93191_9f81097da9b94a2cbd1ab20f03ac312b,POSITIVE,03831e0f677d4c43ae34185065b93191,9f81097da9b94a2cbd1ab20f03ac312b,10-06-2022_14:49:33,morphograph,71.0
039654fa0230464cb68247bc0c7012f0_0fc2847a814b48e1846d3961e64ff672,POSITIVE,039654fa0230464cb68247bc0c7012f0,0fc2847a814b48e1846d3961e64ff672,10-06-2022_15:21:29,morphograph,869.0
0447d3c1e6194d5fad3f77d11783bddf_8ef2666046e54ea1b4f9cad060b4fca1,POSITIVE,0447d3c1e6194d5fad3f77d11783bddf,8ef2666046e54ea1b4f9cad060b4fca1,14-06-2022_20:37:09,07-06-2022/clusters_optics_0.13_07-06-2022_19,44.0
0447d3c1e6194d5fad3f77d11783bddf_c1a818e01cc2476aad697a84269fd73e,POSITIVE,0447d3c1e6194d5fad3f77d11783bddf,c1a818e01cc2476aad697a84269fd73e,14-06-2022_20:37:09,07-06-2022/clusters_optics_0.13_07-06-2022_19,44.0
0471c8fdcf4542a98dadb93cabede228_34416d7f1a2d4055b5a7dec6b2d8dac7,POSITIVE,0471c8fdcf4542a98dadb93cabede228,34416d7f1a2d4055b5a7dec6b2d8dac7,10-06-2022_15:52:59,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,60.0
047e1bfd80884bda96acb21a9535fa1c_61401ad22c6e47d4aed8948625a0efda,SIMILAR,047e1bfd80884bda96acb21a9535fa1c,61401ad22c6e47d4aed8948625a0efda,21-06-2022_11:07:10,01-06-2022/clusters_optics_0.13_01-06-2022_19,359.0
0499ae12a48d41fb838935658b362f08_df7cafa60e1d46e3b0be4f6516b6c8c7,POSITIVE,0499ae12a48d41fb838935658b362f08,df7cafa60e1d46e3b0be4f6516b6c8c7,14-06-2022_21:44:02,07-06-2022/clusters_optics_0.13_07-06-2022_19,1285.0
0499c4bf6b74480293a81c2ca8048de5_fe6cc1a080df4225bd4e88663956940e,POSITIVE,fe6cc1a080df4225bd4e88663956940e,0499c4bf6b74480293a81c2ca8048de5,29-06-2022_19:42:58,07-06-2022/clusters_optics_0.13_07-06-2022_19,112.0
04c8301f6fd74436bb4c45865cc92691_e244bc0bb7b847458e07253df5fab8a5,CORRECT,e244bc0bb7b847458e07253df5fab8a5,04c8301f6fd74436bb4c45865cc92691,29-06-2022_19:18:27,01-06-2022/clusters_optics_0.13_01-06-2022_19,81.0
04c8301f6fd74436bb4c45865cc92691_e244bc0bb7b847458e07253df5fab8a5,POSITIVE,04c8301f6fd74436bb4c45865cc92691,e244bc0bb7b847458e07253df5fab8a5,10-06-2022_15:47:18,01-06-2022/clusters_dbscan_0.08_01-06-2022_19,28.0
04c94eb659744220bf48122f11c1e59f_480e5f70d7dd46759abb83df4a25ab78,POSITIVE,04c94eb659744220bf48122f11c1e59f,480e5f70d7dd46759abb83df4a25ab78,10-06-2022_15:21:34,morphograph,870.0
04e6f4ebe8024cd6a397157e5a186ed3_454ce6765a444c02b463a2020d9a8d08,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,454ce6765a444c02b463a2020d9a8d08,10-06-2022_14:45:20,morphograph,62.0
04e6f4ebe8024cd6a397157e5a186ed3_63c56a235b7a496e83fe1105824ba126,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,63c56a235b7a496e83fe1105824ba126,10-06-2022_14:45:20,morphograph,62.0
04e6f4ebe8024cd6a397157e5a186ed3_a3aca32517a348198326b356d8b1d8b0,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,a3aca32517a348198326b356d8b1d8b0,10-06-2022_14:45:20,morphograph,62.0
04e6f4ebe8024cd6a397157e5a186ed3_bb6c2ee46dd241a4a9ded6104fce1ca6,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,bb6c2ee46dd241a4a9ded6104fce1ca6,10-06-2022_14:45:20,morphograph,62.0
04e6f4ebe8024cd6a397157e5a186ed3_d7fe4958a0f44488827f84b2bb5711ad,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,d7fe4958a0f44488827f84b2bb5711ad,10-06-2022_14:45:20,morphograph,62.0
04e6f4ebe8024cd6a397157e5a186ed3_ea0b2e19aaf04860b0f133c4a5436719,POSITIVE,04e6f4ebe8024cd6a397157e5a186ed3,ea0b2e19aaf04860b0f133c4a5436719,10-06-2022_14:45:20,morphograph,62.0
04f6fff1c2ce4627a4a458c7cdaf7a67_4b23d65b1cba4c74905b0566e218ab4d,SIMILAR,04f6fff1c2ce4627a4a458c7cdaf7a67,4b23d65b1cba4c74905b0566e218ab4d,10-06-2022_15:53:22,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,70.0
04fa92627f8c43589d8a93d207d94630_66e00dd065e34e64bd5d72080da1e39e,POSITIVE,66e00dd065e34e64bd5d72080da1e39e,04fa92627f8c43589d8a93d207d94630,29-06-2022_19:41:58,07-06-2022/clusters_optics_0.13_07-06-2022_19,99.0
052bf82618224c4ea559f4b60da0794d_24ed3099d5484f69ba31f8f7c17964ad,POSITIVE,24ed3099d5484f69ba31f8f7c17964ad,052bf82618224c4ea559f4b60da0794d,29-06-2022_19:55:05,07-06-2022/clusters_optics_0.13_07-06-2022_19,439.0
0544410788214cd28bfedd50eda23f4d_d8532c4ccd484c349a5c7c1b3ca4a8af,POSITIVE,0544410788214cd28bfedd50eda23f4d,d8532c4ccd484c349a5c7c1b3ca4a8af,10-06-2022_15:21:38,morphograph,871.0
