,uid,cluster,Description (EN),Description (EN - ref),cluster_iconography,AuthorClean,AuthorAttr,cluster_attribution,scores_iconography,scores_authors,scores_attributions,AuthorDeathLong,AuthorDeathLat,CountModifiers,scores_times,scores_places,scores_count
19,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
20,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
21,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
22,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
23,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
24,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
25,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
26,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
27,00097e39496f431186a6eac236d809d8,3,Berenice,Berenice,8,"STROZZI,",Original,0,0.4,1.94,1.7,,,,2.3,0.3,6
28,00097e39496f431186a6eac236d809d8,3,Berenice,Berenice,8,"STROZZI,",Original,0,0.4,1.94,1.7,,,,2.3,0.3,6
29,002e45b803f24a1e9f8c6f3768912d7d,5,Young woman portrait.,Young woman portrai,8,BORDONE,Original,0,0.8,0.98,0.9,,,,0.1,0.0,2
30,003597f46a3f4db5ad35b1e8cbcee1cd,6,Christ Healing the Blind,Christ Healing the Blind,8,"GRECO,",Original,0,0.6,0.96,0.8,,,,8.2,0.0,4
31,003597f46a3f4db5ad35b1e8cbcee1cd,6,Christ Healing the Blind,Christ Healing the Blind,8,"GRECO,",Original,0,0.6,0.96,0.8,,,,8.2,0.0,4
32,004b4ecffec840ce8bbc4a768efe2c87,7,"Three poses for the study of a portrait of a man with a hat. Metal tip on yellowish paper, 148 x 130.",Three poses for the study of a portrait of a man with a ha,8,GOLTZIUS,Original,0,0.8,0.98,0.9,,,,0.1,0.0,2
33,006651f26dd14008867e7c30ef54b2a8,8,Nymph and Satyr.,Nymph and Saty,8,GIORDANO,Original,0,1.8,0.98,0.9,14.25,40.833333,13.0,0.1,0.1,2
34,008c4d43c344404285488f1bd6d95717,9,Holy Family,Holy Family,6,BARTOLO,attr.,2,0.8,1.98,0.9,,,,80.1,0.0,2
35,00a2f06fe1bb4002a8e8bfb16bdec1b5,11,Portrait of a child.,Portrait of a chil,8,PITTORE,Original,0,0.8,0.98,0.9,,,,0.1,0.0,2
36,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
37,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
38,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
39,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
40,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
41,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
42,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
43,00a59b7eb3ae41af81d3ccaaedb2007c,12,Jesus Christ scourged. 150 x 67.,Jesus Christ scourge,8,CALVAERT,Original,0,-4.7,6.43,-1.85,11.351,44.507,1.0,64.85,6.59,57
44,00d12453ce184cfeb1e5e98eeac46eee,16,Holy Family (Borgherini),Holy Family (Borgherini),6,ANDREA,Original,0,1.6,1.96,0.8,,,,20.2,0.0,4
45,00d12453ce184cfeb1e5e98eeac46eee,16,Holy Family (Borgherini),Holy Family (Borgherini),6,ANDREA,Original,0,1.6,1.96,0.8,,,,20.2,0.0,4
46,00d53dc88e9b4608ab1d84757ab2a865,17,The Crowning with Thorns,The Crowning with Thorns,8,CARAVAGGIO,Original,0,0.4,1.94,0.7,11.2,42.383333,15.0,3.3,0.3,6
47,00d53dc88e9b4608ab1d84757ab2a865,17,The Crowning with Thorns,The Crowning with Thorns,8,CARAVAGGIO,Original,0,0.4,1.94,0.7,11.2,42.383333,15.0,3.3,0.3,6
48,00d53dc88e9b4608ab1d84757ab2a865,17,The Crowning with Thorns,The Crowning with Thorns,8,CARAVAGGIO,Original,0,0.4,1.94,0.7,11.2,42.383333,15.0,3.3,0.3,6
49,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
50,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
51,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
52,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
53,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
54,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
55,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
56,00d55aab334640cd9eaca09c33c353c1,18,Salome with the Head of St John the Baptist,Salome with the Head of St John the Baptist,25,"LUINI,",Original,0,-3.1,3.49,-1.55,,,,48.55,0.0,51
57,0108ccc9bb774812b62ec630aef34ff7,20,Apollo and Diana,Apollo and Diana,8,"CRANACH,",Original,0,0.6,1.96,0.8,,,,28.2,0.0,4
58,0108ccc9bb774812b62ec630aef34ff7,20,Apollo and Diana,Apollo and Diana,8,"CRANACH,",Original,0,0.6,1.96,0.8,,,,28.2,0.0,4
59,0122e0d7e97643cb9964584482e3bb88,21,Rehearsal of the Ballet Onstage,Rehearsal of the Ballet Onstage,8,"DEGAS,",Original,0,0.6,0.96,0.8,,,,0.2,0.0,4
60,0122e0d7e97643cb9964584482e3bb88,21,Rehearsal of the Ballet Onstage,Rehearsal of the Ballet Onstage,8,"DEGAS,",Original,0,0.6,0.96,0.8,,,,0.2,0.0,4
61,0130ec3155724cfdaa1b5a9bd985f3ca,22,The Tax Collectors,The Tax Collectors,8,"REYMERSWAELE,",Original,0,0.1,0.91,0.55,,,,39.45,0.0,9
62,0130ec3155724cfdaa1b5a9bd985f3ca,22,The Tax Collectors,The Tax Collectors,8,"REYMERSWAELE,",Original,0,0.1,0.91,0.55,,,,39.45,0.0,9
63,0130ec3155724cfdaa1b5a9bd985f3ca,22,The Tax Collectors,The Tax Collectors,8,"REYMERSWAELE,",Original,0,0.1,0.91,0.55,,,,39.45,0.0,9
64,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
65,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
66,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
67,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
68,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
69,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
70,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
71,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
72,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
73,01435531eca4444ea277d12dffbb0068,23,The toilet of Venus. cm. 117.5 x 101,The toilet of Venu,38,TIZIANO,Original,0,-8.8,2.82,-1.9,12.326667,45.438611,26.0,107.9,5.9,118
74,0151210d56524566b9f4e4cdd326e7dc,25,Angels Affr.,Angels Aff,8,GOZZOLI,Original,0,0.8,0.98,0.9,10.9,43.916667,6.0,0.1,0.1,2
75,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
76,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
77,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
78,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
79,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
80,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
81,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
82,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
83,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
84,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
85,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
86,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
87,015bdd215fc94f4bba06a9ba10d24a11,26,Venus and Adonis,Venus and Adonis,18,TIZIANO,Original,0,-9.6,3.74,-4.3,12.326667,45.438611,26.0,135.3,6.3,126
88,0176a6f78d4f431da7411eda469f0e5d,21,Rehearsal of the Ballet Onstage,Rehearsal of the Ballet Onstage,8,"DEGAS,",Original,0,0.6,0.96,0.8,,,,0.2,0.0,4
89,0176a6f78d4f431da7411eda469f0e5d,21,Rehearsal of the Ballet Onstage,Rehearsal of the Ballet Onstage,8,"DEGAS,",Original,0,0.6,0.96,0.8,,,,0.2,0.0,4
90,017a08465c464d719f433c1039e0c0d1,28,017a08465c464d719f433c1039e0c0d1,017a08465c464d719f433c1039e0c0d1,8,MERIAN,Original,0,0.8,0.98,0.9,4.916667,52.35,0.0,0.1,0.1,2
91,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
92,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
93,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
94,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
95,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
96,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
97,017a3337feff414d87ef21fd83a5e5d0,0,"Venus, Bacchus and Ceres. cm. 115 x 132",Venus,28,TIZIANO,bottega di -,3,-0.4,0.86,1.3,,,,0.7,0.0,14
98,01c20f58fad146119c46c3607a91988c,30,01c20f58fad146119c46c3607a91988c,01c20f58fad146119c46c3607a91988c,8,CORREGGIO,da -,1,0.4,0.94,2.7,,,,0.3,0.3,6
99,01c20f58fad146119c46c3607a91988c,30,01c20f58fad146119c46c3607a91988c,01c20f58fad146119c46c3607a91988c,8,CORREGGIO,da -,1,0.4,0.94,2.7,,,,0.3,0.3,6
100,01c9d15bc859434fa72380dae01ae476,31,Marriage of St. Catherine.,Marriage of S,8,ALLEGRI,attr.,2,-1.0,2.7,1.5,,,,33.5,1.5,30
101,01c9d15bc859434fa72380dae01ae476,31,Marriage of St. Catherine.,Marriage of S,8,ALLEGRI,attr.,2,-1.0,2.7,1.5,,,,33.5,1.5,30
102,01c9d15bc859434fa72380dae01ae476,31,Marriage of St. Catherine.,Marriage of S,8,ALLEGRI,attr.,2,-1.0,2.7,1.5,,,,33.5,1.5,30
103,01c9d15bc859434fa72380dae01ae476,31,Marriage of St. Catherine.,Marriage of S,8,ALLEGRI,attr.,2,-1.0,2.7,1.5,,,,33.5,1.5,30
104,01c9d15bc859434fa72380dae01ae476,31,Marriage of St. Catherine.,Marriage of S,8,ALLEGRI,attr.,2,-1.0,2.7,1.5,,,,33.5,1.5,30
105,01f29b29a558442e8482fdd88168d66b,32,01f29b29a558442e8482fdd88168d66b,01f29b29a558442e8482fdd88168d66b,8,TIZIANO,Original,0,0.8,0.98,0.9,12.326667,45.438611,26.0,0.1,0.1,2
106,01ff3d557f4a4133b70d7baee6f124b8,33,01ff3d557f4a4133b70d7baee6f124b8,01ff3d557f4a4133b70d7baee6f124b8,8,MAGNASCO,Original,0,0.8,0.98,0.9,8.95,44.416667,15.0,0.1,0.1,2
107,021240a355f44209aba36324bb255e9d,19,San Zaccaria Altarpiece,San Zaccaria Altarpiece,8,"BELLINI,",Original,0,1.4,0.94,0.7,,,,2.3,0.0,6
108,021240a355f44209aba36324bb255e9d,19,San Zaccaria Altarpiece,San Zaccaria Altarpiece,8,"BELLINI,",Original,0,1.4,0.94,0.7,,,,2.3,0.0,6
109,021240a355f44209aba36324bb255e9d,19,San Zaccaria Altarpiece,San Zaccaria Altarpiece,8,"BELLINI,",Original,0,1.4,0.94,0.7,,,,2.3,0.0,6
110,021240a355f44209aba36324bb255e9d,19,San Zaccaria Altarpiece,San Zaccaria Altarpiece,8,"BELLINI,",Original,0,1.4,0.94,0.7,,,,2.3,0.0,6
111,021240a355f44209aba36324bb255e9d,19,San Zaccaria Altarpiece,San Zaccaria Altarpiece,8,"BELLINI,",Original,0,1.4,0.94,0.7,,,,2.3,0.0,6
112,023684cd7a064ecfa8c1e41b2236048f,34,023684cd7a064ecfa8c1e41b2236048f,023684cd7a064ecfa8c1e41b2236048f,8,TIZIANO,Original,0,-3.2,2.48,-0.6,12.326667,45.438611,26.0,101.6,2.6,52
113,023684cd7a064ecfa8c1e41b2236048f,34,023684cd7a064ecfa8c1e41b2236048f,023684cd7a064ecfa8c1e41b2236048f,8,TIZIANO,Original,0,-3.2,2.48,-0.6,12.326667,45.438611,26.0,101.6,2.6,52
114,023684cd7a064ecfa8c1e41b2236048f,34,023684cd7a064ecfa8c1e41b2236048f,023684cd7a064ecfa8c1e41b2236048f,8,TIZIANO,Original,0,-3.2,2.48,-0.6,12.326667,45.438611,26.0,101.6,2.6,52
115,023684cd7a064ecfa8c1e41b2236048f,34,023684cd7a064ecfa8c1e41b2236048f,023684cd7a064ecfa8c1e41b2236048f,8,TIZIANO,Original,0,-3.2,2.48,-0.6,12.326667,45.438611,26.0,101.6,2.6,52
116,023684cd7a064ecfa8c1e41b2236048f,34,023684cd7a064ecfa8c1e41b2236048f,023684cd7a064ecfa8c1e41b2236048f,8,TIZIANO,Original,0,-3.2,2.48,-0.6,12.326667,45.438611,26.0,101.6,2.6,52
117,023bd457b23f4752bdeaafafc9faee98,35,Madonna and Child with Angels,Madonna and Child with Angels,37,ANTONIO,Original,0,1.0,5.7,0.5,,,1.0,3.5,0.0,30
118,023bd457b23f4752bdeaafafc9faee98,35,Madonna and Child with Angels,Madonna and Child with Angels,37,ANTONIO,Original,0,1.0,5.7,0.5,,,1.0,3.5,0.0,30
119,023bd457b23f4752bdeaafafc9faee98,35,Madonna and Child with Angels,Madonna and Child with Angels,37,ANTONIO,Original,0,1.0,5.7,0.5,,,1.0,3.5,0.0,30
120,023bd457b23f4752bdeaafafc9faee98,35,Madonna and Child with Angels,Madonna and Child with Angels,37,ANTONIO,Original,0,1.0,5.7,0.5,,,1.0,3.5,0.0,30
121,023bd457b23f4752bdeaafafc9faee98,35,Madonna and Child with Angels,Madonna and Child with Angels,37,ANTONIO,Original,0,1.0,5.7,0.5,,,1.0,3.5,0.0,30
122,02508f5beac74c60a444cc3c020ebec5,36,Love and Psyche.,Love and Psych,8,LEONBRUNO,attr.,2,0.8,1.98,1.9,,,,9.1,0.0,2
123,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
124,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
125,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
126,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
127,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
128,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
129,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
130,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
131,026322746340445a8efe82e4ede8e7c7,38,"View of the Piazzetta from the Bacino di San Marco, Venice",View of the Piazzetta from the Bacino di San Marco,8,"TIRONI,",Original,0,-8.0,2.1,-3.5,,,,54.5,0.0,90
132,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
133,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
134,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
135,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
136,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
137,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
138,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
139,0281d6221da34c0ba870edf8f2904dc2,40,The gifts of the shepherds. em. 87 x 98.,The gifts of the shepherd,17,BASSANO,Original,0,-7.6,2.94,-2.3,,,,133.3,6.22,106
