,uid_connection,index,uid,level_0,AuthorOriginal,Description,Author,AuthorBirth,path,BeginDate,ImageURL,City,Country,AuthorBirthCity,AuthorDeathCity,Drawer,Type,img1,img2,type,annotated,cluster_file,cluster,set,new_cluster,new set,old_cluster
10,00c1e40ce6db4e9989e7acab8810b0cf,7036.0,406a36c78eb24b289871c117e61cdafb,9,CANALETTO,Riva degli Schiavoni: Looking East,CANALETTO,"(b. 1697, Venezia, d. 1768, Venezia)",../data/WGA/images/c/canalett/3/canal303.jpg,1730.0,http://www.wga.hu/html/c/canalett/3/canal303.html,,Italian,,,,landscape,406a36c78eb24b289871c117e61cdafb,3b929f6ff1ef4c5d9c5bf4b2251591c8,POSITIVE,2017-08-12 15:34:16.420995+00:00,Original,420,val,420,val,420.0
11,00c745eff5a6495fb5640c3a43055b23,13203.0,69f5f3b2a30e4e0dbe394c758682e380,10,PIETRO DA RIMINI,Deposition from the Cross,PIETRO DA RIMINI,(active 1324-1338 in Rimini),../data/WGA/images/p/pietro/rimini/depositi.jpg,1325.0,http://www.wga.hu/html/p/pietro/rimini/depositi.html,,Italian,,,,religious,69f5f3b2a30e4e0dbe394c758682e380,6137ab3c58484aab820173e25eef4f0b,POSITIVE,2017-09-21 13:43:11.413786+00:00,Original,365,train,365,train,365.0
12,00cdb261151944119efdb14860009527,23453.0,d00e4250fe934c53b065725419483521,11,"CRANACH, Lucas the Elder",Reclining Water Nymph,"CRANACH, Lucas the Elder","(b. 1472, Kronach, d. 1553, Weimar)",../data/WGA/images/c/cranach/lucas_e/08/2nymph4.jpg,1533.0,http://www.wga.hu/html/c/cranach/lucas_e/08/2nymph4.html,,German,,,,mythological,d00e4250fe934c53b065725419483521,b9eb2a66465646399ec32ecd15349fe0,POSITIVE,2016-05-17 16:24:53+00:00,Original,72,val,72,val,72.0
13,00d55aab334640cd988c91722c2346c9,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,8e75362c2b8942a9988c91722c2346c9,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
14,00d55aab334640cd9ecaaddd0a8d5e0c,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,bccee23e3e1e4ab89ecaaddd0a8d5e0c,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
15,00d55aab334640cd9ef2f673bb23b61e,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,7f611bf9f5a244299ef2f673bb23b61e,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
16,00d55aab334640cdac311e6fa898b06a,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,af99b99138264aaaac311e6fa898b06a,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
17,00d55aab334640cdb258a109ffd338d9,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,7c3c9718d04f4961b258a109ffd338d9,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
18,00d55aab334640cdb31adbb586df6079,,00d55aab334640cd9eaca09c33c353c1,12,"LUINI, Bernardino",Salome with the Head of St John the Baptist,"LUINI, Bernardino","(b. 1480, Luino, d. 1532, Milano)",../data/WGA/images/l/luini/father/2/salome.jpg,1501.0,http://www.wga.hu/html/l/luini/father/2/salome.html,LONDRA Già TORINO,Italian,,,57A,religious,00d55aab334640cd9eaca09c33c353c1,6d61adb6f53446b6b31adbb586df6079,POSITIVE,10-06-2022_14:52:40,morphograph,97,no set,97,train,
19,00d93ceb6eaf4df9967ac1e9b410d875,24373.0,d472720dfb7743beba0889f972912a40,18,"RAFFAELLO (inv.) ABLST (Van), Peter. (ar.)",La Pesca miracolosa. Arazzo,RAFFAELLO (inv ) ABLST (Van) Peter (ar ),,../data/126A/126A_332.jpg,,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F126A%2F126A_332.jpg/full/full/0/default.jpg,MILANO,,,,126A,,d472720dfb7743beba0889f972912a40,9ccfcb7393944263ba2cf048a6f53e42,POSITIVE,2018-03-27 17:44:49.270028+00:00,Original,711,test,711,test,711.0
20,00e32d9050fc412485aa7f03c4b441f0,15254.0,9023470a375d440389203002033d5809,19,BARTOLOMEO VENETO,"Madonna col Bambino. Tempera su tav., 79,5 x 66,5.",VENETO Bartolomeo,1475.0,../data/61C/61C_247.jpg,1493.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F61C%2F61C_247.jpg/full/full/0/default.jpg,PADOVA,,,Turin,61C,,fbfb15c1676a4720b8b1f0063bbe06f4,9023470a375d440389203002033d5809,POSITIVE,2018-07-19 18:55:32.084950+00:00,Original,215,train,215,train,215.0
21,00e5e3eba9a24a679ba8a953e1e807a0,7664.0,529bd2e051bb4362bf4a59d63539b994,20,"ORLEY, Bernaert van",Virgin and Child,"ORLEY, Bernaert van","(b. 1491/92, Bruxelles, d. 1542, Bruxelles)",../data/WGA/images/o/orley/virgin3.jpg,1520.0,http://www.wga.hu/html/o/orley/virgin3.html,,Flemish,,,,religious,2eed70d1462040e3bd01540b8d585c06,529bd2e051bb4362bf4a59d63539b994,POSITIVE,2016-06-28 09:05:29+00:00,Original,210,val,210,val,210.0
22,00edb5776c8a454cabc7b010a823951e,7229.0,446da890b6ad4096a5874e061b0d39e4,21,"RUBENS, Peter Paul",Leda and the Swan,"RUBENS, Peter Paul","(b. 1577, Siegen, d. 1640, Antwerpen)",../data/WGA/images/r/rubens/21mythol/01mytho.jpg,1598.0,http://www.wga.hu/html/r/rubens/21mythol/01mytho.html,FIRENZE,Flemish,Arezzo,Rome,45C,mythological,446da890b6ad4096a5874e061b0d39e4,edf58fa1bada45879fead83cede67e45,POSITIVE,2016-05-24 08:58:35+00:00,Original,92,train,92,train,92.0
23,00f572c280284e669985af181611b2d8,11971.0,5e87d1dfceaf4ad48ea732333275e692,22,"BERCKHEYDE, Gerrit Adriaensz.","Dam Square, Amsterdam","BERCKHEYDE, Gerrit Adriaensz.","(b. 1638, Haarlem, d. 1698, Haarlem)",../data/WGA/images/b/berckhey/gerrit/dam_squa.jpg,1675.0,http://www.wga.hu/html/b/berckhey/gerrit/dam_squa.html,,Dutch,,,,landscape,5e87d1dfceaf4ad48ea732333275e692,d5234e261fd549ba9539377d1e58f7d8,POSITIVE,2016-05-19 09:24:08+00:00,Original,76,train,76,train,76.0
24,011f931452664dce999e44635424a820,14735.0,768f6b091d254a2ab4186f68b40b14e3,23,CANALETTO,"The Bucintoro, Venice",CANALETTO,"(b. 1697, Venezia, d. 1768, Venezia)",../data/WGA/images/c/canalett/6/canal619.jpg,1745.0,http://www.wga.hu/html/c/canalett/6/canal619.html,,Italian,,,,landscape,768f6b091d254a2ab4186f68b40b14e3,0ceb48009d3946f5840f593015785396,POSITIVE,2016-05-15 20:21:33+00:00,Original,67,train,67,train,67.0
25,0131b423392f4a56ab8082847151aaa9,8783.0,56b9ff84f2ec4e6484437e4f0805f253,24,"RONDINELLI, Niccolo.",La Madonna col Bambino.,RONDINELLI Niccolo,1440.0,../data/112B/112B_349.jpg,1458.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F112B%2F112B_349.jpg/full/full/0/default.jpg,ROMA,,Venice,Venice,112B,,68059242ed0a45ba881ffb9cc50fd105,56b9ff84f2ec4e6484437e4f0805f253,POSITIVE,2018-03-08 22:39:49.464432+00:00,Original,194,train,194,train,194.0
26,01435531eca4444e83e7796a212203f1,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,066c36f2a35f4ba583e7796a212203f1,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
27,01435531eca4444e8b4b638da1fbc4f7,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,2a8d4e1bfdb74eca8b4b638da1fbc4f7,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
28,01435531eca4444e901588f50ff53919,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,e7d5b8fabef34afd901588f50ff53919,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
29,01435531eca4444e96c7631fcca7d660,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,52c28ef42c1d4aae96c7631fcca7d660,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
30,01435531eca4444ea05ee37b5bbaffc0,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,9ce56b3c8059489aa05ee37b5bbaffc0,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
31,01435531eca4444ea4f3fc072b24f042,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,ab78cee608eb4524a4f3fc072b24f042,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
32,01435531eca4444ea7383c56766aee77,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,53be2276c1eb4211a7383c56766aee77,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
33,01435531eca4444eb4066ea9179bb432,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,4ca7465c479e403eb4066ea9179bb432,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
34,01435531eca4444ebadaaf011a889c8e,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,6f96097f261f4094badaaf011a889c8e,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
35,01435531eca4444ebfdf23d9b798a68c,,01435531eca4444ea277d12dffbb0068,25,TIZIANO,"La toilette di Venere. cm. 117,5 x 101",TIZIANO Vecellio,1483.0,../data/58A/58A_99.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F58A%2F58A_99.jpg/full/full/0/default.jpg,COLO NIA,Italian,Belluno,Venice,58A,mythological,01435531eca4444ea277d12dffbb0068,5d79b149cf7445a4bfdf23d9b798a68c,POSITIVE,10-06-2022_14:42:00,morphograph,33,no set,33,test,
36,0151210d565245669e96f263d6dba01a,,0151210d56524566b9f4e4cdd326e7dc,809,"GOZZOLI, Benozzo.",Angeli. Affr.,GOZZOLI Benozzo,1420.0,../data/152C/152C_83.jpg,1438.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F152C%2F152C_83.jpg/full/full/0/default.jpg,MO N TEPALC o (Perugia),,Florence,Pistoia,152C,,0151210d56524566b9f4e4cdd326e7dc,f1fdfee4ac4e49cc9e96f263d6dba01a,POSITIVE,14-06-2022_21:43:40,07-06-2022/clusters_optics_0.13_07-06-2022_19,881,no set,881,train,
37,015233292e1243b9922cff87bd6a49c6,21786.0,c11f78e8a3a54f1cb8ef614866333656,35,RAFFAELLO Sanzio,Study for Venus and Psyche,RAFFAELLO Sanzio,"(b. 1483, Urbino, d. 1520, Roma)",../data/WGA/images/r/raphael/7drawing/1/27study.jpg,1513.0,http://www.wga.hu/html/r/raphael/7drawing/1/27study.html,,Italian,,,,study,c11f78e8a3a54f1cb8ef614866333656,54677d3a530e4f1cacf63d884efa1548,POSITIVE,2017-10-04 09:45:35.884674+00:00,Original,474,val,474,val,474.0
38,015bdd215fc94f4b83d92801f83121a3,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,d3e552f25fe7456e83d92801f83121a3,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
39,015bdd215fc94f4b8d291ee88c632d46,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,db69533115a141028d291ee88c632d46,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
40,015bdd215fc94f4b93f179bfdab44fa5,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,d78d6915521d4d9093f179bfdab44fa5,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
41,015bdd215fc94f4ba8b1deb136aa2540,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,1153fd805fee4a10a8b1deb136aa2540,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
42,015bdd215fc94f4babbc34eccc0874d3,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,e457cec6d86f47d1abbc34eccc0874d3,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
43,015bdd215fc94f4bad0ddc3bd758a3ce,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,96f1701981d84f30ad0ddc3bd758a3ce,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
44,015bdd215fc94f4bb7c686121022caf5,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,1a4ecebdd379406bb7c686121022caf5,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
45,015bdd215fc94f4bb87967339b46aa99,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,7cafbc0aa8bf4311b87967339b46aa99,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
46,015bdd215fc94f4bbb65224d5e71e4e8,,015bdd215fc94f4bba06a9ba10d24a11,36,TIZIANO Vecellio,Venus and Adonis,TIZIANO Vecellio,"(b. 1490, Pieve di Cadore, d. 1576, Venezia)",../data/WGA/images/t/tiziano/09/11venusa.jpg,1550.0,http://www.wga.hu/html/t/tiziano/09/11venusa.html,WASHINGTON,Italian,Belluno,Venice,58B,mythological,015bdd215fc94f4bba06a9ba10d24a11,1280ff0f290b47b0bb65224d5e71e4e8,POSITIVE,10-06-2022_14:44:03,morphograph,54,no set,54,val,
47,0173f61e40d345e895c6abb6411f5ce6,16796.0,8998bbc9a5784a559e2feab50f6e9dc7,45,SCUOLA VERONESE SEC. V. ex.,Madonna con Bambino e S. Giovannino.,SCUOLA VERONESE SEC V ex,1431.0,../data/97C/97C_3.jpg,1449.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F97C%2F97C_3.jpg/full/full/0/default.jpg,VICENZA,Svizzera,Venice,Venice,97C,,8998bbc9a5784a559e2feab50f6e9dc7,4ced1a6287c1417db8b41e79e1a04c79,POSITIVE,2018-04-02 17:27:46.910118+00:00,Original,715,train,715,train,715.0
48,017a08465c464d71840607e92faf8b87,,017a08465c464d719f433c1039e0c0d1,46,"MERIAN, Sibylle.",Pianta di rapa Colore a corpo su carta colorata 290 x 210.,MERIAN Sibylle,1647.0,../data/10B/10B_440.jpg,1665.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F10B%2F10B_440.jpg/full/full/0/default.jpg,DARMSTADT,,Frankfurt,Amsterdam,10B,,017a08465c464d719f433c1039e0c0d1,4091e2bab8324a37840607e92faf8b87,POSITIVE,10-06-2022_15:50:23,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,882,no set,882,train,
